Edges in the graph (u, v, w):
(1, 20, 3)
(1, 51, 46)
(1, 11, 49)
(1, 97, 39)
(1, 75, 46)
(1, 6, 8)
(1, 15, 38)
(2, 44, 2)
(2, 74, 16)
(2, 4, 3)
(2, 98, 27)
(2, 37, 31)
(2, 41, 19)
(2, 26, 29)
(2, 39, 23)
(2, 81, 4)
(2, 99, 29)
(2, 63, 12)
(2, 62, 26)
(2, 12, 48)
(2, 6, 50)
(2, 16, 45)
(2, 13, 2)
(2, 72, 25)
(2, 23, 41)
(2, 5, 40)
(2, 31, 46)
(2, 15, 31)
(2, 97, 26)
(2, 88, 30)
(2, 60, 14)
(2, 24, 19)
(2, 96, 1)
(2, 32, 14)
(2, 56, 16)
(2, 93, 50)
(2, 95, 5)
(2, 30, 50)
(2, 33, 46)
(2, 7, 36)
(2, 77, 45)
(2, 75, 47)
(2, 11, 23)
(2, 92, 41)
(2, 36, 38)
(2, 50, 49)
(2, 76, 39)
(2, 47, 39)
(2, 64, 50)
(2, 18, 44)
(2, 73, 16)
(2, 51, 2)
(2, 17, 29)
(2, 38, 28)
(2, 52, 4)
(2, 84, 33)
(2, 42, 49)
(2, 79, 49)
(2, 48, 31)
(2, 58, 13)
(2, 34, 38)
(2, 35, 21)
(2, 87, 7)
(2, 65, 12)
(2, 91, 41)
(2, 43, 28)
(2, 9, 31)
(2, 46, 27)
(2, 59, 11)
(2, 29, 10)
(2, 45, 46)
(2, 25, 10)
(2, 61, 30)
(2, 66, 42)
(2, 85, 5)
(2, 80, 45)
(2, 67, 18)
(2, 90, 36)
(2, 94, 33)
(2, 69, 9)
(2, 8, 37)
(2, 54, 31)
(2, 40, 25)
(2, 19, 37)
(2, 3, 7)
(2, 27, 6)
(2, 21, 8)
(2, 71, 17)
(2, 89, 15)
(2, 22, 14)
(2, 53, 41)
(2, 78, 24)
(2, 55, 35)
(2, 28, 43)
(2, 86, 14)
(2, 10, 33)
(2, 70, 33)
(2, 68, 20)
(2, 82, 9)
(2, 49, 23)
(2, 83, 31)
(2, 20, 32)
(2, 14, 3)
(2, 57, 6)
(3, 98, 49)
(3, 47, 43)
(3, 10, 21)
(3, 55, 43)
(3, 36, 37)
(3, 40, 1)
(3, 32, 19)
(3, 67, 21)
(3, 33, 32)
(3, 92, 26)
(3, 99, 20)
(3, 63, 3)
(3, 53, 28)
(3, 9, 1)
(3, 46, 14)
(3, 19, 11)
(3, 45, 38)
(3, 14, 41)
(3, 34, 30)
(3, 20, 28)
(3, 86, 16)
(3, 13, 4)
(3, 50, 37)
(3, 82, 17)
(3, 17, 28)
(3, 88, 13)
(3, 4, 50)
(3, 78, 37)
(3, 5, 36)
(3, 90, 36)
(3, 83, 39)
(3, 38, 43)
(3, 8, 16)
(3, 87, 46)
(3, 11, 39)
(3, 68, 20)
(3, 80, 37)
(3, 57, 42)
(3, 26, 38)
(3, 43, 26)
(3, 24, 32)
(3, 41, 24)
(3, 75, 11)
(3, 48, 19)
(3, 72, 22)
(3, 16, 22)
(3, 59, 3)
(3, 61, 1)
(3, 52, 16)
(3, 31, 6)
(3, 27, 17)
(3, 37, 17)
(3, 28, 19)
(3, 44, 21)
(3, 89, 28)
(3, 51, 13)
(3, 49, 18)
(3, 29, 6)
(3, 97, 23)
(3, 23, 33)
(3, 60, 39)
(3, 66, 39)
(3, 76, 17)
(3, 65, 41)
(3, 73, 33)
(3, 69, 41)
(3, 77, 13)
(3, 30, 41)
(3, 74, 33)
(3, 91, 42)
(3, 96, 2)
(3, 7, 50)
(3, 42, 14)
(3, 54, 39)
(3, 62, 30)
(3, 58, 15)
(3, 12, 13)
(3, 39, 4)
(3, 18, 6)
(3, 81, 3)
(3, 21, 44)
(3, 79, 25)
(3, 35, 7)
(3, 85, 46)
(3, 70, 8)
(3, 71, 34)
(3, 93, 28)
(3, 25, 5)
(3, 15, 23)
(3, 56, 47)
(3, 6, 12)
(3, 22, 10)
(3, 94, 6)
(3, 95, 13)
(3, 64, 23)
(3, 84, 30)
(4, 96, 30)
(4, 50, 44)
(4, 40, 4)
(4, 71, 26)
(4, 79, 48)
(4, 70, 42)
(4, 11, 45)
(4, 68, 38)
(4, 87, 37)
(4, 47, 33)
(4, 57, 32)
(4, 89, 10)
(4, 98, 4)
(4, 42, 4)
(4, 13, 40)
(4, 35, 41)
(4, 45, 43)
(4, 48, 26)
(4, 72, 30)
(4, 91, 24)
(4, 77, 33)
(4, 9, 20)
(4, 15, 44)
(4, 39, 31)
(4, 93, 8)
(4, 64, 44)
(4, 16, 5)
(4, 80, 10)
(4, 65, 35)
(4, 53, 45)
(4, 27, 24)
(4, 66, 26)
(4, 97, 18)
(4, 30, 37)
(4, 92, 31)
(4, 83, 18)
(4, 73, 46)
(4, 31, 14)
(4, 24, 13)
(4, 18, 50)
(4, 32, 17)
(4, 14, 35)
(4, 21, 31)
(4, 49, 16)
(4, 46, 5)
(4, 61, 21)
(4, 56, 23)
(4, 33, 8)
(4, 84, 32)
(4, 52, 41)
(4, 60, 16)
(4, 44, 23)
(4, 7, 47)
(4, 29, 19)
(4, 22, 35)
(4, 8, 4)
(4, 62, 16)
(4, 51, 11)
(4, 6, 11)
(4, 75, 37)
(4, 95, 30)
(4, 59, 23)
(4, 63, 5)
(4, 5, 35)
(4, 78, 45)
(4, 94, 21)
(4, 41, 44)
(4, 54, 6)
(4, 28, 3)
(4, 38, 37)
(4, 55, 22)
(4, 20, 12)
(4, 81, 36)
(4, 10, 10)
(4, 76, 50)
(4, 17, 23)
(4, 58, 47)
(4, 25, 39)
(4, 67, 12)
(4, 19, 48)
(4, 26, 34)
(4, 90, 38)
(4, 69, 48)
(4, 74, 1)
(4, 37, 7)
(4, 43, 39)
(4, 12, 36)
(4, 36, 31)
(4, 23, 33)
(4, 82, 28)
(4, 85, 1)
(4, 88, 8)
(4, 99, 3)
(4, 34, 17)
(4, 86, 39)
(5, 33, 21)
(5, 55, 48)
(5, 83, 27)
(5, 61, 15)
(5, 56, 48)
(5, 70, 20)
(5, 58, 35)
(5, 47, 29)
(5, 10, 14)
(5, 9, 29)
(5, 48, 20)
(5, 40, 24)
(5, 62, 36)
(5, 8, 25)
(5, 81, 47)
(5, 87, 12)
(5, 73, 17)
(5, 43, 40)
(5, 65, 30)
(5, 36, 6)
(5, 34, 1)
(5, 88, 7)
(5, 27, 48)
(5, 35, 25)
(5, 42, 8)
(5, 99, 19)
(5, 38, 25)
(5, 94, 7)
(5, 22, 45)
(5, 98, 29)
(5, 29, 35)
(5, 12, 28)
(5, 21, 45)
(5, 63, 39)
(5, 74, 25)
(5, 53, 41)
(5, 7, 3)
(5, 57, 29)
(5, 69, 17)
(5, 85, 4)
(5, 49, 26)
(5, 72, 37)
(5, 19, 12)
(5, 52, 42)
(5, 44, 2)
(5, 89, 21)
(5, 71, 2)
(5, 25, 17)
(5, 24, 45)
(5, 84, 3)
(5, 92, 22)
(5, 86, 13)
(5, 64, 18)
(5, 68, 10)
(5, 37, 46)
(5, 28, 3)
(5, 66, 21)
(5, 82, 32)
(5, 39, 5)
(5, 78, 36)
(5, 16, 40)
(5, 46, 36)
(5, 11, 48)
(5, 60, 13)
(5, 96, 36)
(5, 14, 2)
(5, 97, 31)
(5, 13, 33)
(5, 76, 15)
(5, 77, 39)
(5, 95, 9)
(5, 54, 27)
(5, 26, 41)
(5, 15, 50)
(5, 32, 46)
(5, 18, 39)
(5, 93, 9)
(5, 17, 29)
(5, 51, 27)
(5, 59, 8)
(5, 31, 19)
(5, 50, 37)
(5, 67, 44)
(5, 75, 33)
(5, 91, 14)
(5, 79, 25)
(5, 23, 32)
(5, 80, 17)
(5, 90, 28)
(5, 45, 31)
(5, 41, 13)
(5, 6, 33)
(5, 20, 2)
(5, 30, 43)
(6, 62, 10)
(6, 29, 10)
(6, 30, 29)
(6, 15, 50)
(6, 76, 12)
(6, 50, 18)
(6, 93, 19)
(6, 64, 14)
(6, 40, 42)
(6, 55, 20)
(6, 39, 25)
(6, 65, 33)
(6, 66, 44)
(6, 82, 33)
(6, 97, 43)
(6, 67, 35)
(6, 58, 37)
(6, 42, 26)
(6, 57, 48)
(6, 90, 43)
(6, 45, 37)
(6, 23, 39)
(6, 14, 19)
(6, 69, 11)
(6, 98, 13)
(6, 94, 8)
(6, 33, 13)
(6, 44, 6)
(6, 63, 5)
(6, 88, 18)
(6, 8, 49)
(6, 78, 3)
(6, 48, 41)
(6, 96, 5)
(6, 95, 2)
(6, 60, 12)
(6, 74, 24)
(6, 75, 49)
(6, 43, 17)
(6, 18, 28)
(6, 84, 47)
(6, 91, 2)
(6, 26, 17)
(6, 21, 20)
(6, 54, 43)
(6, 99, 17)
(6, 10, 25)
(6, 41, 8)
(6, 13, 42)
(6, 38, 23)
(6, 17, 44)
(6, 24, 17)
(6, 11, 21)
(6, 34, 43)
(6, 80, 33)
(6, 77, 2)
(6, 27, 46)
(6, 81, 37)
(6, 47, 4)
(6, 32, 22)
(6, 46, 1)
(6, 89, 49)
(6, 59, 13)
(6, 53, 42)
(6, 25, 35)
(6, 85, 15)
(6, 49, 45)
(6, 51, 27)
(6, 31, 50)
(6, 35, 50)
(6, 79, 38)
(6, 7, 25)
(6, 9, 14)
(6, 36, 21)
(6, 68, 3)
(6, 16, 10)
(6, 73, 33)
(6, 12, 2)
(6, 71, 43)
(6, 61, 7)
(6, 37, 47)
(6, 86, 40)
(6, 92, 15)
(6, 20, 39)
(6, 83, 11)
(6, 28, 14)
(6, 72, 37)
(6, 19, 4)
(6, 22, 15)
(6, 87, 41)
(6, 52, 11)
(6, 56, 29)
(6, 70, 50)
(7, 14, 19)
(7, 45, 22)
(7, 30, 41)
(7, 46, 21)
(7, 27, 47)
(7, 53, 7)
(7, 61, 38)
(7, 58, 2)
(7, 68, 34)
(7, 24, 24)
(7, 44, 48)
(7, 38, 50)
(7, 77, 3)
(7, 59, 7)
(7, 23, 43)
(7, 66, 26)
(7, 41, 14)
(7, 8, 45)
(7, 83, 50)
(7, 55, 28)
(7, 29, 27)
(7, 67, 11)
(7, 97, 23)
(7, 51, 30)
(7, 11, 39)
(7, 20, 41)
(7, 86, 12)
(7, 88, 12)
(7, 63, 46)
(7, 75, 10)
(7, 9, 3)
(7, 82, 1)
(7, 49, 26)
(7, 79, 40)
(7, 31, 21)
(7, 22, 20)
(7, 28, 32)
(7, 19, 26)
(7, 57, 43)
(7, 65, 32)
(7, 48, 28)
(7, 62, 2)
(7, 73, 42)
(7, 54, 4)
(7, 95, 45)
(7, 17, 34)
(7, 50, 8)
(7, 90, 42)
(7, 80, 32)
(7, 81, 34)
(7, 21, 46)
(7, 69, 10)
(7, 42, 38)
(7, 99, 7)
(7, 70, 24)
(7, 37, 46)
(7, 56, 28)
(7, 60, 41)
(7, 39, 37)
(7, 74, 50)
(7, 16, 49)
(7, 91, 38)
(7, 43, 8)
(7, 96, 40)
(7, 34, 9)
(7, 25, 6)
(7, 92, 19)
(7, 15, 21)
(7, 94, 1)
(7, 93, 50)
(7, 72, 40)
(7, 10, 37)
(7, 85, 44)
(7, 18, 34)
(7, 47, 45)
(7, 64, 39)
(7, 26, 20)
(7, 13, 25)
(7, 32, 18)
(7, 36, 13)
(7, 12, 43)
(7, 78, 47)
(7, 76, 7)
(7, 89, 31)
(7, 87, 27)
(7, 52, 47)
(7, 33, 37)
(7, 98, 19)
(7, 71, 46)
(7, 84, 11)
(7, 35, 33)
(7, 40, 42)
(8, 11, 34)
(8, 65, 49)
(8, 78, 46)
(8, 83, 42)
(8, 40, 14)
(8, 13, 18)
(8, 39, 21)
(8, 52, 40)
(8, 14, 34)
(8, 34, 33)
(8, 61, 16)
(8, 46, 21)
(8, 41, 25)
(8, 30, 7)
(8, 32, 50)
(8, 89, 39)
(8, 33, 8)
(8, 57, 14)
(8, 76, 47)
(8, 44, 49)
(8, 75, 5)
(8, 37, 32)
(8, 79, 36)
(8, 82, 15)
(8, 50, 20)
(8, 77, 47)
(8, 88, 50)
(8, 80, 10)
(8, 54, 34)
(8, 87, 23)
(8, 47, 35)
(8, 51, 2)
(8, 24, 35)
(8, 70, 31)
(8, 22, 23)
(8, 90, 36)
(8, 92, 7)
(8, 27, 38)
(8, 59, 2)
(8, 74, 21)
(8, 73, 41)
(8, 67, 47)
(8, 84, 3)
(8, 64, 39)
(8, 25, 45)
(8, 85, 39)
(8, 91, 16)
(8, 38, 43)
(8, 93, 45)
(8, 36, 17)
(8, 96, 8)
(8, 26, 8)
(8, 56, 27)
(8, 99, 37)
(8, 42, 48)
(8, 81, 50)
(8, 21, 38)
(8, 63, 36)
(8, 19, 40)
(8, 60, 1)
(8, 94, 22)
(8, 29, 2)
(8, 9, 14)
(8, 45, 11)
(8, 66, 49)
(8, 28, 32)
(8, 95, 48)
(8, 55, 26)
(8, 86, 23)
(8, 58, 34)
(8, 48, 29)
(8, 10, 8)
(8, 16, 34)
(8, 53, 9)
(8, 15, 12)
(8, 17, 46)
(8, 31, 36)
(8, 97, 34)
(8, 49, 21)
(8, 98, 42)
(8, 18, 23)
(8, 23, 48)
(8, 20, 50)
(8, 72, 37)
(8, 62, 39)
(8, 68, 32)
(8, 71, 15)
(8, 69, 37)
(8, 35, 11)
(8, 43, 18)
(8, 12, 42)
(9, 66, 8)
(9, 96, 2)
(9, 27, 9)
(9, 79, 34)
(9, 86, 3)
(9, 75, 20)
(9, 26, 31)
(9, 33, 25)
(9, 46, 19)
(9, 28, 22)
(9, 65, 38)
(9, 32, 44)
(9, 76, 1)
(9, 91, 21)
(9, 78, 23)
(9, 41, 12)
(9, 47, 17)
(9, 60, 45)
(9, 53, 42)
(9, 49, 45)
(9, 72, 4)
(9, 52, 6)
(9, 99, 38)
(9, 11, 7)
(9, 19, 11)
(9, 74, 29)
(9, 43, 30)
(9, 90, 25)
(9, 89, 42)
(9, 69, 40)
(9, 24, 21)
(9, 23, 35)
(9, 38, 40)
(9, 44, 28)
(9, 29, 24)
(9, 83, 46)
(9, 22, 18)
(9, 37, 33)
(9, 42, 47)
(9, 57, 37)
(9, 39, 32)
(9, 82, 9)
(9, 92, 42)
(9, 63, 22)
(9, 88, 28)
(9, 45, 4)
(9, 64, 40)
(9, 59, 34)
(9, 14, 44)
(9, 62, 30)
(9, 48, 24)
(9, 31, 9)
(9, 85, 38)
(9, 51, 30)
(9, 56, 42)
(9, 50, 19)
(9, 95, 21)
(9, 80, 23)
(9, 67, 49)
(9, 20, 7)
(9, 21, 6)
(9, 98, 7)
(9, 58, 32)
(9, 30, 13)
(9, 12, 27)
(9, 94, 32)
(9, 17, 43)
(9, 34, 16)
(9, 13, 42)
(9, 10, 19)
(9, 15, 35)
(9, 18, 47)
(9, 36, 42)
(9, 97, 50)
(9, 70, 43)
(9, 54, 3)
(9, 61, 14)
(9, 68, 21)
(9, 25, 5)
(9, 81, 24)
(9, 87, 11)
(9, 71, 20)
(9, 16, 19)
(9, 40, 4)
(9, 55, 33)
(9, 93, 28)
(9, 73, 39)
(9, 84, 28)
(9, 35, 32)
(9, 77, 11)
(10, 82, 7)
(10, 71, 5)
(10, 30, 4)
(10, 93, 22)
(10, 60, 16)
(10, 70, 34)
(10, 73, 8)
(10, 78, 50)
(10, 83, 22)
(10, 63, 37)
(10, 35, 2)
(10, 17, 7)
(10, 57, 44)
(10, 62, 50)
(10, 43, 6)
(10, 29, 7)
(10, 77, 42)
(10, 26, 43)
(10, 40, 30)
(10, 21, 43)
(10, 95, 42)
(10, 45, 48)
(10, 91, 37)
(10, 39, 25)
(10, 22, 21)
(10, 27, 39)
(10, 52, 13)
(10, 16, 27)
(10, 11, 38)
(10, 18, 43)
(10, 58, 11)
(10, 12, 29)
(10, 36, 38)
(10, 94, 40)
(10, 96, 35)
(10, 55, 48)
(10, 86, 23)
(10, 54, 11)
(10, 56, 23)
(10, 42, 47)
(10, 50, 35)
(10, 34, 28)
(10, 64, 3)
(10, 88, 35)
(10, 44, 9)
(10, 89, 24)
(10, 67, 29)
(10, 80, 45)
(10, 79, 38)
(10, 59, 47)
(10, 15, 32)
(10, 81, 35)
(10, 41, 22)
(10, 31, 23)
(10, 61, 32)
(10, 85, 36)
(10, 84, 40)
(10, 65, 47)
(10, 24, 23)
(10, 23, 43)
(10, 48, 30)
(10, 75, 8)
(10, 98, 16)
(10, 38, 38)
(10, 32, 7)
(10, 68, 26)
(10, 92, 26)
(10, 66, 14)
(10, 99, 36)
(10, 14, 41)
(10, 25, 25)
(10, 13, 6)
(10, 28, 8)
(10, 49, 3)
(10, 72, 32)
(10, 33, 3)
(10, 74, 34)
(10, 97, 44)
(10, 90, 39)
(10, 47, 46)
(10, 87, 45)
(10, 20, 10)
(10, 37, 30)
(10, 76, 27)
(10, 51, 16)
(10, 69, 11)
(10, 46, 43)
(10, 19, 29)
(10, 53, 41)
(11, 42, 1)
(11, 19, 35)
(11, 90, 40)
(11, 85, 12)
(11, 45, 19)
(11, 47, 33)
(11, 32, 5)
(11, 66, 32)
(11, 89, 34)
(11, 92, 45)
(11, 23, 46)
(11, 94, 42)
(11, 57, 41)
(11, 76, 3)
(11, 63, 38)
(11, 36, 35)
(11, 54, 40)
(11, 26, 26)
(11, 52, 3)
(11, 27, 14)
(11, 46, 9)
(11, 20, 34)
(11, 99, 26)
(11, 25, 10)
(11, 96, 15)
(11, 18, 14)
(11, 13, 16)
(11, 80, 47)
(11, 87, 31)
(11, 50, 38)
(11, 35, 32)
(11, 81, 15)
(11, 83, 23)
(11, 55, 42)
(11, 98, 16)
(11, 60, 33)
(11, 33, 29)
(11, 24, 37)
(11, 14, 14)
(11, 97, 41)
(11, 75, 10)
(11, 69, 8)
(11, 38, 32)
(11, 48, 26)
(11, 12, 26)
(11, 79, 29)
(11, 72, 7)
(11, 41, 1)
(11, 15, 49)
(11, 43, 27)
(11, 88, 14)
(11, 64, 17)
(11, 68, 49)
(11, 37, 41)
(11, 73, 5)
(11, 62, 36)
(11, 49, 4)
(11, 71, 35)
(11, 56, 19)
(11, 93, 46)
(11, 61, 8)
(11, 77, 48)
(11, 40, 32)
(11, 59, 23)
(11, 86, 43)
(11, 78, 21)
(11, 17, 33)
(11, 39, 38)
(11, 65, 5)
(11, 82, 34)
(11, 58, 42)
(11, 31, 37)
(11, 16, 20)
(11, 44, 29)
(11, 67, 9)
(11, 21, 6)
(11, 91, 49)
(11, 28, 11)
(11, 84, 42)
(11, 51, 41)
(11, 95, 8)
(11, 30, 25)
(11, 70, 33)
(11, 74, 30)
(11, 22, 44)
(11, 34, 46)
(11, 53, 16)
(11, 29, 13)
(12, 35, 20)
(12, 97, 29)
(12, 36, 43)
(12, 14, 15)
(12, 56, 39)
(12, 43, 28)
(12, 93, 44)
(12, 95, 2)
(12, 47, 27)
(12, 88, 20)
(12, 45, 28)
(12, 79, 47)
(12, 71, 6)
(12, 94, 8)
(12, 61, 18)
(12, 75, 12)
(12, 38, 43)
(12, 87, 8)
(12, 40, 50)
(12, 68, 44)
(12, 31, 43)
(12, 65, 2)
(12, 29, 1)
(12, 49, 11)
(12, 37, 14)
(12, 30, 28)
(12, 17, 36)
(12, 63, 12)
(12, 77, 39)
(12, 86, 50)
(12, 16, 27)
(12, 73, 21)
(12, 25, 49)
(12, 60, 11)
(12, 70, 33)
(12, 23, 49)
(12, 69, 16)
(12, 72, 27)
(12, 74, 42)
(12, 22, 4)
(12, 24, 22)
(12, 32, 48)
(12, 51, 11)
(12, 64, 40)
(12, 59, 36)
(12, 66, 18)
(12, 99, 38)
(12, 58, 20)
(12, 42, 46)
(12, 76, 17)
(12, 50, 46)
(12, 96, 10)
(12, 82, 50)
(12, 34, 25)
(12, 46, 34)
(12, 27, 10)
(12, 39, 26)
(12, 21, 15)
(12, 78, 47)
(12, 18, 47)
(12, 81, 7)
(12, 90, 35)
(12, 84, 13)
(12, 92, 42)
(12, 98, 18)
(12, 53, 11)
(12, 20, 11)
(12, 44, 20)
(12, 55, 50)
(12, 62, 7)
(12, 19, 25)
(12, 48, 8)
(12, 80, 25)
(12, 91, 17)
(12, 15, 9)
(12, 89, 43)
(12, 41, 49)
(12, 52, 36)
(12, 33, 27)
(12, 57, 38)
(12, 54, 4)
(12, 26, 25)
(12, 13, 44)
(12, 67, 36)
(12, 28, 26)
(12, 83, 25)
(12, 85, 37)
(13, 98, 36)
(13, 93, 31)
(13, 55, 50)
(13, 35, 16)
(13, 28, 32)
(13, 85, 36)
(13, 24, 24)
(13, 94, 40)
(13, 90, 26)
(13, 43, 44)
(13, 92, 18)
(13, 30, 2)
(13, 42, 41)
(13, 66, 8)
(13, 99, 4)
(13, 80, 31)
(13, 17, 34)
(13, 89, 35)
(13, 62, 3)
(13, 22, 36)
(13, 38, 30)
(13, 37, 22)
(13, 32, 21)
(13, 77, 8)
(13, 18, 48)
(13, 52, 35)
(13, 36, 2)
(13, 14, 45)
(13, 41, 21)
(13, 25, 18)
(13, 73, 10)
(13, 69, 25)
(13, 72, 28)
(13, 70, 30)
(13, 48, 48)
(13, 60, 40)
(13, 53, 7)
(13, 78, 48)
(13, 79, 26)
(13, 34, 30)
(13, 39, 18)
(13, 76, 31)
(13, 65, 21)
(13, 45, 19)
(13, 71, 50)
(13, 96, 39)
(13, 56, 1)
(13, 59, 7)
(13, 87, 37)
(13, 40, 4)
(13, 91, 5)
(13, 21, 23)
(13, 23, 39)
(13, 27, 10)
(13, 83, 33)
(13, 84, 15)
(13, 58, 18)
(13, 31, 39)
(13, 19, 36)
(13, 44, 18)
(13, 64, 2)
(13, 88, 10)
(13, 46, 20)
(13, 54, 34)
(13, 50, 2)
(13, 63, 33)
(13, 29, 31)
(13, 15, 5)
(13, 33, 48)
(13, 57, 12)
(13, 26, 11)
(13, 16, 1)
(13, 95, 42)
(13, 82, 8)
(13, 61, 48)
(13, 49, 41)
(13, 68, 4)
(13, 97, 10)
(13, 75, 50)
(13, 47, 32)
(13, 51, 48)
(13, 20, 22)
(13, 67, 2)
(13, 74, 31)
(13, 86, 7)
(13, 81, 26)
(14, 31, 24)
(14, 84, 1)
(14, 46, 15)
(14, 35, 44)
(14, 20, 45)
(14, 64, 40)
(14, 51, 41)
(14, 76, 25)
(14, 54, 19)
(14, 62, 1)
(14, 30, 23)
(14, 89, 26)
(14, 25, 30)
(14, 94, 9)
(14, 85, 26)
(14, 82, 7)
(14, 75, 50)
(14, 68, 3)
(14, 97, 34)
(14, 40, 24)
(14, 44, 15)
(14, 23, 18)
(14, 32, 43)
(14, 74, 47)
(14, 65, 49)
(14, 86, 20)
(14, 88, 43)
(14, 71, 39)
(14, 26, 25)
(14, 87, 22)
(14, 98, 4)
(14, 21, 37)
(14, 59, 3)
(14, 83, 3)
(14, 57, 3)
(14, 96, 12)
(14, 92, 3)
(14, 38, 34)
(14, 16, 12)
(14, 52, 8)
(14, 37, 28)
(14, 99, 3)
(14, 72, 16)
(14, 34, 41)
(14, 41, 44)
(14, 93, 40)
(14, 33, 31)
(14, 42, 43)
(14, 49, 8)
(14, 36, 46)
(14, 63, 39)
(14, 56, 2)
(14, 95, 9)
(14, 91, 14)
(14, 67, 39)
(14, 43, 10)
(14, 29, 7)
(14, 81, 38)
(14, 70, 17)
(14, 53, 42)
(14, 45, 1)
(14, 47, 12)
(14, 60, 14)
(14, 58, 50)
(14, 61, 26)
(14, 69, 36)
(14, 50, 6)
(14, 28, 44)
(14, 19, 9)
(14, 80, 45)
(14, 48, 6)
(14, 39, 8)
(14, 15, 16)
(14, 77, 50)
(14, 27, 23)
(14, 66, 2)
(14, 78, 3)
(14, 17, 23)
(14, 18, 12)
(14, 22, 5)
(14, 55, 5)
(14, 24, 34)
(14, 90, 33)
(14, 73, 28)
(14, 79, 47)
(15, 31, 7)
(15, 91, 3)
(15, 36, 27)
(15, 72, 19)
(15, 17, 29)
(15, 37, 9)
(15, 99, 32)
(15, 27, 21)
(15, 89, 12)
(15, 50, 1)
(15, 19, 20)
(15, 55, 43)
(15, 87, 36)
(15, 48, 25)
(15, 59, 47)
(15, 62, 16)
(15, 18, 33)
