Edges in the graph (u, v, w):
(15, 91, 3)
(15, 36, 46)
(15, 72, 49)
(15, 17, 39)
(15, 37, 46)
(15, 99, 8)
(15, 27, 38)
(15, 89, 2)
(16, 53, 16)
(16, 90, 3)
(16, 36, 27)
(16, 31, 31)
(16, 68, 19)
(16, 49, 29)
(16, 39, 23)
(16, 33, 4)
(16, 82, 29)
(16, 38, 12)
(16, 29, 26)
(16, 72, 48)
(16, 87, 50)
(16, 51, 45)
(16, 66, 2)
(16, 18, 25)
(16, 59, 41)
(17, 51, 40)
(17, 71, 46)
(17, 74, 31)
(17, 33, 26)
(17, 75, 30)
(17, 53, 14)
(18, 62, 19)
(18, 81, 1)
(18, 63, 14)
(18, 19, 16)
(18, 54, 50)
(18, 45, 5)
(18, 91, 50)
(18, 23, 46)
(18, 34, 36)
(18, 40, 45)
(19, 21, 47)
(19, 51, 23)
(19, 41, 41)
(19, 80, 38)
(19, 48, 49)
(19, 42, 39)
(19, 59, 39)
(19, 25, 50)
(19, 88, 44)
(19, 86, 16)
(19, 91, 2)
(19, 68, 29)
(19, 82, 28)
(19, 65, 4)
(20, 32, 33)
(20, 85, 49)
(20, 38, 49)
(20, 52, 31)
(20, 36, 13)
(20, 95, 38)
(21, 61, 21)
(21, 53, 7)
(21, 29, 12)
(21, 49, 41)
(21, 33, 28)
(21, 70, 31)
(21, 26, 27)
(21, 47, 11)
(21, 27, 10)
(21, 91, 46)
(21, 67, 10)
(21, 28, 30)
(21, 63, 42)
(21, 74, 5)
(21, 88, 45)
(22, 76, 18)
(22, 38, 36)
(22, 86, 33)
(22, 39, 9)
(22, 29, 37)
(22, 34, 31)
(22, 30, 25)
(22, 70, 37)
(22, 58, 7)
(22, 66, 6)
(22, 84, 8)
(23, 83, 17)
(23, 70, 15)
(23, 98, 14)
(23, 64, 41)
(23, 45, 24)
(23, 93, 35)
(23, 68, 43)
(24, 31, 14)
(24, 85, 33)
(24, 35, 33)
(24, 29, 20)
(24, 69, 9)
(24, 80, 23)
(24, 65, 31)
(24, 92, 32)
(24, 61, 3)
(24, 99, 6)
(24, 54, 49)
(25, 83, 43)
(25, 89, 21)
(25, 65, 43)
(25, 49, 37)
(25, 61, 1)
(25, 55, 19)
(25, 51, 21)
(25, 78, 32)
(25, 63, 26)
(25, 76, 20)
(25, 43, 3)
(25, 77, 28)
(26, 86, 1)
(26, 58, 14)
(26, 30, 11)
(26, 38, 38)
(26, 56, 41)
(26, 60, 30)
(26, 68, 28)
(26, 59, 16)
(26, 66, 4)
(26, 31, 37)
(27, 86, 17)
(27, 39, 28)
(27, 76, 13)
(27, 55, 50)
(27, 43, 37)
(27, 77, 36)
(27, 91, 36)
(27, 54, 39)
(27, 30, 43)
(27, 75, 16)
(27, 93, 46)
(28, 30, 39)
(28, 96, 20)
(28, 32, 37)
(28, 85, 42)
(28, 49, 38)
(28, 75, 26)
(28, 78, 32)
(28, 90, 24)
(28, 60, 11)
(29, 72, 19)
(29, 62, 22)
(29, 48, 22)
(29, 35, 3)
(29, 54, 1)
(29, 96, 16)
(29, 53, 6)
(29, 36, 17)
(29, 99, 17)
(29, 68, 19)
(29, 37, 21)
(29, 44, 28)
(29, 66, 13)
(30, 59, 18)
(30, 61, 6)
(30, 41, 23)
(30, 40, 33)
(30, 69, 39)
(30, 72, 39)
(30, 74, 17)
(31, 62, 41)
(31, 55, 33)
(31, 83, 41)
(31, 89, 13)
(31, 53, 41)
(31, 73, 33)
(31, 82, 42)
(31, 76, 2)
(31, 79, 50)
(31, 39, 14)
(31, 75, 39)
(32, 80, 30)
(32, 85, 15)
(32, 82, 13)
(32, 37, 4)
(32, 42, 6)
(32, 33, 3)
(32, 99, 44)
(32, 65, 25)
(32, 60, 7)
(33, 91, 46)
(33, 87, 8)
(33, 73, 34)
(33, 99, 28)
(33, 46, 5)
(34, 83, 23)
(34, 69, 47)
(34, 54, 12)
(34, 41, 10)
(34, 74, 6)
(34, 45, 13)
(34, 49, 23)
(34, 96, 30)
(35, 57, 30)
(35, 78, 44)
(35, 91, 4)
(35, 75, 26)
(35, 40, 48)
(35, 65, 42)
(35, 54, 45)
(35, 95, 38)
(35, 50, 37)
(35, 64, 33)
(36, 68, 32)
(36, 88, 10)
(36, 92, 4)
(36, 66, 4)
(36, 41, 40)
(36, 57, 41)
(36, 52, 43)
(36, 95, 26)
(37, 86, 30)
(37, 59, 24)
(37, 54, 33)
(37, 70, 20)
(37, 78, 44)
(37, 58, 31)
(37, 94, 8)
(37, 67, 44)
(38, 92, 5)
(38, 52, 10)
(38, 53, 35)
(38, 82, 45)
(38, 45, 24)
(38, 72, 26)
(38, 77, 18)
(38, 46, 37)
(39, 46, 31)
(39, 65, 18)
(39, 57, 46)
(39, 72, 14)
(39, 84, 13)
(39, 77, 50)
(39, 89, 17)
(40, 48, 35)
(40, 78, 31)
(40, 54, 16)
(40, 56, 5)
(40, 51, 21)
(40, 91, 23)
(41, 55, 8)
(41, 53, 32)
(41, 64, 41)
(42, 76, 16)
(42, 87, 23)
(42, 51, 47)
(42, 61, 19)
(42, 81, 35)
(42, 60, 4)
(42, 46, 16)
(42, 94, 11)
(42, 90, 11)
(42, 54, 37)
(43, 64, 30)
(43, 82, 23)
(43, 44, 5)
(43, 48, 35)
(43, 78, 45)
(43, 74, 21)
(44, 93, 44)
(44, 99, 6)
(44, 78, 3)
(44, 89, 37)
(44, 66, 22)
(44, 69, 12)
(44, 50, 36)
(44, 98, 10)
(44, 55, 50)
(44, 64, 23)
(45, 96, 47)
(45, 50, 39)
(45, 99, 12)
(45, 57, 48)
(45, 72, 34)
(45, 54, 38)
(45, 68, 48)
(45, 60, 1)
(45, 89, 7)
(45, 61, 39)
(46, 82, 36)
(46, 73, 31)
(46, 58, 33)
(46, 61, 28)
(46, 98, 1)
(46, 70, 8)
(46, 88, 3)
(46, 68, 17)
(46, 55, 39)
(46, 66, 21)
(47, 82, 48)
(47, 75, 27)
(47, 71, 15)
(48, 68, 48)
(48, 83, 20)
(48, 64, 35)
(48, 82, 29)
(48, 55, 14)
(48, 59, 29)
(48, 66, 20)
(49, 55, 24)
(49, 75, 36)
(49, 58, 25)
(49, 74, 47)
(49, 71, 12)
(49, 93, 17)
(49, 56, 40)
(49, 96, 30)
(50, 56, 6)
(50, 80, 1)
(50, 55, 7)
(50, 59, 48)
(50, 62, 25)
(50, 73, 8)
(51, 82, 19)
(51, 99, 25)
(51, 64, 7)
(51, 98, 45)
(51, 53, 29)
(51, 67, 35)
(51, 93, 28)
(51, 56, 45)
(52, 63, 39)
(52, 83, 25)
(52, 90, 41)
(52, 78, 3)
(52, 68, 29)
(52, 96, 17)
(52, 70, 4)
(53, 87, 26)
(53, 81, 37)
(53, 89, 12)
(53, 99, 42)
(53, 79, 2)
(53, 86, 21)
(53, 80, 2)
(53, 59, 17)
(54, 68, 45)
(54, 93, 3)
(54, 63, 22)
(54, 56, 13)
(54, 74, 18)
(54, 80, 10)
(54, 97, 46)
(54, 96, 3)
(54, 94, 21)
(54, 78, 32)
(55, 64, 5)
(55, 84, 36)
(55, 83, 40)
(55, 85, 36)
(55, 57, 48)
(55, 69, 13)
(56, 96, 36)
(56, 57, 2)
(56, 60, 31)
(56, 79, 33)
(56, 80, 15)
(56, 82, 39)
(56, 91, 9)
(57, 63, 27)
(57, 75, 41)
(58, 97, 50)
(58, 91, 46)
(58, 89, 39)
(58, 81, 9)
(59, 95, 29)
(59, 65, 27)
(59, 90, 8)
(60, 95, 19)
(60, 68, 37)
(60, 85, 44)
(61, 76, 33)
(61, 97, 14)
(61, 78, 25)
(61, 86, 32)
(61, 74, 17)
(61, 62, 28)
(61, 93, 31)
(61, 92, 13)
(62, 82, 33)
(62, 66, 2)
(62, 96, 43)
(63, 79, 10)
(63, 85, 10)
(64, 76, 29)
(64, 83, 50)
(64, 70, 12)
(64, 72, 18)
(65, 77, 19)
(65, 71, 14)
(65, 75, 42)
(65, 98, 20)
(65, 86, 25)
(66, 88, 33)
(66, 80, 44)
(66, 74, 33)
(67, 89, 43)
(67, 79, 35)
(67, 71, 37)
(67, 75, 26)
(67, 69, 48)
(68, 89, 43)
(68, 79, 37)
(68, 91, 39)
(68, 87, 19)
(69, 88, 11)
(69, 84, 13)
(70, 85, 8)
(70, 96, 13)
(72, 73, 6)
(72, 89, 5)
(73, 78, 18)
(73, 94, 49)
(73, 74, 3)
(73, 79, 41)
(73, 76, 5)
(73, 80, 2)
(74, 95, 12)
(74, 99, 24)
(74, 85, 49)
(74, 86, 17)
(75, 96, 28)
(75, 85, 47)
(75, 90, 2)
(76, 99, 17)
(76, 84, 20)
(77, 91, 43)
(77, 80, 17)
(77, 94, 25)
(77, 99, 8)
(77, 97, 42)
(78, 98, 23)
(78, 88, 44)
(79, 85, 17)
(79, 84, 21)
(79, 98, 43)
(79, 90, 33)
(79, 95, 2)
(80, 89, 46)
(80, 92, 37)
(80, 91, 4)
(80, 85, 22)
(82, 99, 1)
(82, 87, 49)
(82, 86, 13)
(83, 97, 42)
(83, 84, 35)
(83, 94, 15)
(84, 92, 45)
(84, 88, 27)
(85, 97, 50)
(85, 93, 50)
(85, 94, 38)
(85, 89, 25)
(86, 93, 14)
(86, 87, 21)
(86, 98, 3)
(86, 94, 10)
(87, 97, 33)
(88, 93, 2)
(89, 90, 43)
(90, 91, 7)
(90, 98, 47)
(91, 99, 40)
(92, 93, 15)
(93, 99, 39)
(95, 96, 11)
