Edges in the graph (u, v, w):
(31, 860, 50)
(31, 867, 50)
(31, 412, 38)
(31, 780, 25)
(31, 878, 14)
(31, 786, 21)
(31, 180, 3)
(31, 953, 10)
(31, 660, 33)
(32, 182, 2)
(32, 570, 43)
(32, 317, 7)
(32, 406, 47)
(32, 382, 40)
(32, 994, 15)
(32, 455, 39)
(32, 806, 11)
(32, 677, 14)
(32, 948, 37)
(32, 295, 4)
(32, 795, 15)
(32, 39, 41)
(32, 799, 11)
(32, 651, 29)
(32, 744, 50)
(32, 778, 19)
(32, 615, 22)
(32, 509, 41)
(32, 705, 21)
(32, 393, 47)
(32, 113, 7)
(32, 291, 38)
(33, 923, 2)
(33, 634, 34)
(33, 554, 24)
(33, 688, 48)
(33, 600, 50)
(33, 762, 3)
(33, 858, 7)
(33, 262, 43)
(33, 830, 26)
(33, 50, 14)
(33, 153, 45)
(33, 71, 50)
(33, 644, 28)
(33, 297, 27)
(33, 544, 11)
(33, 483, 23)
(33, 239, 30)
(33, 916, 39)
(33, 397, 41)
(33, 881, 12)
(33, 517, 12)
(33, 224, 46)
(33, 327, 10)
(34, 804, 3)
(34, 491, 1)
(34, 922, 26)
(34, 623, 40)
(34, 376, 21)
(34, 770, 20)
(34, 776, 32)
(34, 701, 26)
(34, 479, 43)
(34, 720, 32)
(34, 724, 28)
(34, 320, 2)
(34, 230, 42)
(34, 204, 4)
(34, 400, 45)
(34, 347, 34)
(35, 342, 8)
(35, 486, 42)
(35, 637, 32)
(35, 596, 34)
(35, 987, 46)
(35, 273, 10)
(35, 276, 38)
(35, 667, 7)
(35, 855, 24)
(35, 569, 46)
(35, 413, 28)
(35, 227, 41)
(35, 903, 37)
(35, 336, 50)
(35, 761, 49)
(35, 921, 38)
(35, 976, 8)
(35, 361, 40)
(35, 897, 9)
(35, 451, 6)
(35, 767, 19)
(35, 120, 21)
(35, 248, 1)
(35, 54, 50)
(35, 338, 40)
(35, 313, 37)
(35, 671, 44)
(36, 523, 34)
(36, 944, 45)
(36, 844, 39)
(36, 629, 20)
(36, 727, 25)
(36, 724, 18)
(36, 604, 13)
(36, 190, 43)
(36, 996, 47)
(36, 525, 7)
(36, 567, 31)
(36, 563, 27)
(36, 127, 47)
(36, 589, 37)
(36, 812, 19)
(36, 512, 46)
(36, 825, 11)
(36, 849, 33)
(37, 815, 42)
(37, 745, 34)
(37, 366, 49)
(37, 511, 46)
(37, 102, 42)
(37, 953, 14)
(37, 917, 18)
(37, 445, 21)
(37, 217, 40)
(37, 299, 34)
(37, 617, 33)
(37, 614, 16)
(37, 820, 21)
(37, 825, 25)
(37, 263, 7)
(37, 377, 50)
(38, 633, 39)
(38, 132, 8)
(38, 890, 14)
(38, 868, 47)
(38, 514, 49)
(38, 818, 5)
(38, 941, 32)
(38, 548, 36)
(38, 820, 15)
(38, 301, 20)
(38, 107, 47)
(38, 948, 50)
(38, 450, 10)
(38, 537, 34)
(39, 861, 23)
(39, 654, 35)
(39, 250, 2)
(39, 185, 35)
(39, 997, 31)
(39, 310, 23)
(39, 150, 36)
(39, 87, 7)
(39, 108, 38)
(39, 259, 2)
(39, 125, 21)
(39, 181, 41)
(39, 684, 47)
(39, 819, 3)
(39, 71, 39)
(39, 94, 45)
(39, 727, 39)
(39, 942, 16)
(39, 943, 43)
(39, 390, 45)
(39, 903, 17)
(39, 346, 8)
(39, 702, 8)
(40, 293, 27)
(40, 125, 37)
(40, 210, 48)
(40, 987, 50)
(40, 693, 38)
(40, 893, 36)
(40, 97, 40)
(40, 867, 1)
(40, 589, 22)
(40, 560, 2)
(40, 57, 14)
(40, 498, 11)
(40, 950, 49)
(40, 642, 32)
(40, 298, 48)
(40, 401, 26)
(40, 443, 23)
(40, 83, 34)
(40, 876, 29)
(40, 269, 8)
(40, 315, 34)
(40, 189, 9)
(41, 279, 12)
(41, 687, 46)
(41, 528, 36)
(41, 398, 34)
(41, 390, 21)
(41, 876, 42)
(41, 216, 23)
(41, 817, 48)
(41, 908, 50)
(41, 835, 37)
(41, 405, 39)
(41, 180, 32)
(41, 225, 15)
(41, 820, 37)
(41, 409, 11)
(41, 643, 18)
(41, 548, 42)
(41, 242, 8)
(41, 162, 2)
(41, 960, 9)
(41, 879, 34)
(41, 475, 3)
(41, 840, 20)
(41, 624, 31)
(41, 752, 25)
(41, 617, 19)
(41, 305, 22)
(42, 441, 38)
(42, 552, 44)
(42, 671, 1)
(42, 207, 21)
(42, 785, 23)
(42, 620, 12)
(42, 959, 17)
(42, 912, 45)
(42, 471, 42)
(42, 387, 45)
(42, 395, 4)
(42, 532, 6)
(42, 928, 38)
(42, 122, 7)
(42, 528, 11)
(42, 115, 29)
(42, 662, 30)
(42, 97, 25)
(42, 324, 42)
(43, 902, 40)
(43, 389, 21)
(43, 578, 35)
(43, 672, 40)
(43, 104, 28)
(43, 401, 24)
(43, 721, 46)
(43, 670, 18)
(43, 520, 33)
(43, 519, 47)
(43, 997, 37)
(43, 116, 32)
(43, 301, 9)
(43, 128, 42)
(43, 724, 22)
(43, 857, 28)
(43, 681, 4)
(43, 166, 40)
(43, 462, 34)
(43, 567, 44)
(43, 524, 30)
(43, 283, 24)
(43, 810, 9)
(44, 488, 38)
(44, 997, 30)
(44, 825, 42)
(44, 840, 19)
(44, 621, 21)
(44, 532, 23)
(44, 201, 49)
(44, 634, 7)
(44, 580, 6)
(44, 644, 7)
(44, 934, 32)
(44, 756, 13)
(44, 716, 27)
(44, 893, 32)
(44, 452, 43)
(45, 534, 16)
(45, 800, 42)
(45, 829, 19)
(45, 934, 35)
(45, 794, 47)
(45, 519, 42)
(45, 721, 50)
(45, 319, 43)
(45, 722, 3)
(45, 604, 14)
(45, 837, 21)
(45, 602, 5)
(45, 568, 24)
(45, 889, 11)
(45, 426, 20)
(45, 981, 19)
(45, 907, 4)
(45, 244, 33)
(46, 291, 28)
(46, 669, 39)
(46, 885, 28)
(46, 445, 32)
(46, 862, 11)
(46, 67, 7)
(46, 173, 5)
(46, 307, 4)
(46, 297, 22)
(46, 635, 16)
(46, 98, 34)
(46, 57, 8)
(46, 170, 50)
(46, 993, 22)
(46, 476, 37)
(46, 945, 2)
(46, 199, 7)
(46, 189, 44)
(46, 859, 50)
(46, 531, 6)
(46, 849, 7)
(46, 614, 42)
(46, 583, 43)
(47, 533, 30)
(47, 400, 43)
(47, 335, 42)
(47, 194, 48)
(47, 808, 37)
(47, 431, 25)
(47, 49, 21)
(47, 528, 39)
(47, 992, 13)
(47, 790, 27)
(47, 727, 38)
(47, 365, 43)
(47, 484, 11)
(47, 988, 29)
(47, 840, 38)
(47, 322, 40)
(48, 223, 35)
(48, 894, 48)
(48, 952, 23)
(48, 396, 11)
(48, 528, 23)
(48, 752, 47)
(48, 826, 35)
(48, 881, 28)
(48, 949, 3)
(48, 247, 35)
(48, 969, 9)
(48, 133, 24)
(48, 233, 29)
(48, 305, 45)
(48, 822, 38)
(48, 186, 47)
(49, 412, 32)
(49, 395, 35)
(49, 872, 22)
(49, 777, 23)
(49, 89, 32)
(49, 879, 36)
(49, 881, 40)
(49, 255, 47)
(49, 690, 23)
(49, 488, 43)
(49, 650, 30)
(49, 569, 8)
(49, 966, 16)
(49, 297, 38)
(49, 389, 7)
(49, 564, 26)
(49, 207, 26)
(49, 763, 14)
(49, 566, 36)
(49, 545, 41)
(49, 885, 25)
(50, 619, 6)
(50, 509, 8)
(50, 144, 3)
(50, 88, 32)
(50, 337, 3)
(50, 314, 34)
(50, 545, 44)
(50, 85, 39)
(50, 851, 46)
(50, 815, 45)
(50, 561, 10)
(50, 424, 30)
(50, 302, 27)
(50, 171, 16)
(50, 645, 11)
(50, 899, 43)
(50, 772, 29)
(50, 367, 41)
(50, 225, 1)
(51, 489, 35)
(51, 751, 40)
(51, 733, 12)
(51, 138, 19)
(51, 601, 33)
(51, 406, 5)
(51, 311, 32)
(51, 478, 34)
(51, 325, 45)
(51, 834, 46)
(51, 379, 42)
(51, 877, 41)
(51, 776, 3)
(52, 911, 38)
(52, 668, 35)
(52, 553, 40)
(52, 435, 26)
(52, 115, 3)
(52, 852, 14)
(52, 759, 9)
(52, 655, 34)
(52, 402, 26)
(52, 341, 10)
(52, 786, 15)
(52, 643, 14)
(52, 510, 16)
(52, 490, 47)
(52, 377, 31)
(52, 244, 38)
(52, 331, 32)
(52, 506, 15)
(52, 925, 23)
(52, 585, 42)
(52, 447, 16)
(52, 376, 33)
(52, 846, 29)
(52, 989, 37)
(52, 886, 14)
(52, 325, 41)
(53, 292, 10)
(53, 503, 8)
(53, 400, 32)
(53, 246, 26)
(53, 329, 26)
(53, 192, 29)
(53, 918, 7)
(53, 780, 1)
(53, 776, 49)
(53, 433, 27)
(53, 524, 14)
(53, 548, 17)
(53, 63, 49)
(53, 923, 41)
(53, 867, 5)
(53, 795, 36)
(53, 796, 4)
(53, 793, 35)
(53, 500, 19)
(53, 607, 46)
(54, 868, 8)
(54, 488, 48)
(54, 521, 32)
(54, 855, 23)
(54, 661, 43)
(54, 292, 21)
(54, 737, 33)
(54, 609, 38)
(54, 927, 5)
(54, 380, 34)
(54, 268, 42)
(54, 300, 37)
(54, 330, 20)
(54, 776, 29)
(54, 490, 9)
(54, 702, 6)
(54, 498, 49)
(54, 58, 11)
(54, 309, 42)
(54, 228, 41)
(55, 436, 8)
(55, 261, 25)
(55, 883, 33)
(55, 410, 30)
(55, 902, 44)
(55, 115, 46)
(55, 817, 16)
(55, 314, 13)
(55, 846, 20)
(55, 397, 29)
(55, 720, 43)
(55, 260, 15)
(55, 560, 39)
(55, 886, 28)
(55, 842, 44)
(55, 431, 2)
(55, 599, 27)
(55, 932, 20)
(55, 958, 28)
(55, 740, 47)
(55, 684, 6)
(55, 422, 8)
(56, 797, 18)
(56, 966, 12)
(56, 888, 43)
(56, 606, 8)
(56, 333, 50)
(56, 442, 44)
(56, 573, 43)
(56, 488, 2)
(56, 886, 1)
(56, 87, 11)
(56, 849, 14)
(56, 271, 28)
(56, 880, 36)
(56, 860, 12)
(56, 173, 39)
(56, 63, 50)
(57, 662, 27)
(57, 984, 21)
(57, 643, 49)
(57, 478, 11)
(57, 778, 33)
(57, 588, 49)
(57, 705, 16)
(57, 67, 27)
(57, 801, 42)
(57, 416, 4)
(57, 570, 22)
(57, 521, 48)
(57, 85, 11)
(58, 427, 40)
(58, 452, 36)
(58, 876, 18)
(58, 516, 38)
(58, 101, 20)
(58, 583, 46)
(58, 859, 17)
(58, 607, 46)
(58, 278, 10)
(58, 610, 50)
(58, 211, 25)
(58, 174, 34)
(58, 869, 10)
(58, 199, 26)
(58, 748, 15)
(58, 722, 47)
(58, 669, 47)
(58, 89, 7)
(58, 735, 35)
(58, 953, 13)
(58, 185, 42)
(58, 736, 18)
(58, 810, 11)
(58, 615, 11)
(58, 419, 20)
(59, 554, 50)
(59, 223, 7)
(59, 360, 25)
(59, 428, 8)
(59, 761, 25)
(59, 839, 17)
(59, 391, 9)
(59, 558, 43)
(59, 85, 49)
(59, 931, 36)
(59, 864, 27)
(59, 802, 38)
(59, 495, 4)
(59, 681, 25)
(59, 267, 44)
(59, 511, 36)
(59, 449, 26)
(60, 366, 25)
(60, 183, 37)
(60, 887, 36)
(60, 259, 31)
(60, 112, 50)
(60, 408, 16)
(60, 660, 32)
(60, 530, 36)
(60, 326, 24)
(60, 619, 40)
(60, 553, 26)
(60, 433, 44)
(60, 771, 18)
(60, 671, 2)
(60, 885, 41)
(60, 114, 8)
(61, 718, 4)
(61, 513, 31)
(61, 740, 34)
(61, 184, 35)
(61, 229, 3)
(61, 502, 36)
(61, 212, 30)
(61, 958, 22)
(61, 444, 21)
(61, 713, 8)
(61, 252, 48)
(61, 616, 35)
(61, 459, 2)
(61, 817, 45)
(61, 985, 21)
(61, 878, 18)
(62, 141, 10)
(62, 184, 25)
(62, 910, 28)
(62, 933, 30)
(62, 547, 48)
(62, 255, 40)
(62, 233, 7)
(62, 245, 48)
(62, 637, 26)
(62, 724, 30)
(62, 893, 18)
(62, 737, 31)
(62, 562, 21)
(62, 521, 19)
(62, 437, 50)
(62, 758, 39)
(62, 810, 1)
(62, 915, 7)
(62, 222, 37)
(62, 324, 4)
(62, 691, 5)
(62, 191, 23)
(62, 790, 39)
(62, 331, 10)
(62, 869, 33)
(62, 378, 15)
(62, 990, 18)
(62, 569, 39)
(62, 117, 36)
(62, 564, 18)
(62, 973, 2)
(62, 982, 10)
(62, 170, 20)
(63, 128, 34)
(63, 537, 2)
(63, 455, 33)
(63, 690, 31)
(63, 809, 5)
(63, 321, 48)
(63, 419, 12)
(63, 895, 11)
(63, 219, 1)
(63, 307, 42)
(63, 609, 8)
(63, 632, 48)
(63, 512, 41)
(63, 226, 4)
(63, 363, 10)
(63, 812, 50)
(63, 525, 32)
(63, 885, 48)
(63, 989, 22)
(63, 528, 2)
(63, 903, 31)
(63, 67, 7)
(63, 628, 26)
(64, 466, 24)
(64, 154, 1)
(64, 375, 15)
(64, 409, 44)
(64, 424, 45)
(64, 960, 40)
(64, 155, 41)
(64, 479, 25)
(64, 252, 19)
(64, 169, 1)
(64, 277, 23)
(64, 360, 26)
(64, 670, 30)
(64, 117, 9)
(64, 807, 26)
(64, 437, 7)
(64, 897, 50)
(64, 802, 3)
(65, 611, 34)
(65, 136, 24)
(65, 191, 15)
(65, 381, 18)
(65, 773, 43)
(65, 481, 47)
(65, 70, 49)
(65, 131, 20)
(65, 98, 43)
(65, 451, 39)
(65, 135, 25)
(65, 895, 22)
(65, 821, 4)
(65, 739, 37)
(65, 642, 3)
(65, 634, 3)
(65, 88, 3)
(65, 355, 12)
(65, 121, 3)
(66, 588, 34)
(66, 293, 12)
(66, 491, 8)
(66, 463, 28)
(66, 764, 3)
(66, 647, 16)
(66, 629, 41)
(66, 268, 44)
(66, 91, 40)
(66, 971, 31)
(66, 252, 43)
(66, 361, 8)
(66, 652, 46)
(66, 801, 39)
(66, 368, 2)
(66, 116, 9)
(66, 805, 14)
(67, 88, 39)
(67, 297, 10)
(67, 799, 7)
(67, 455, 38)
(67, 845, 17)
(67, 391, 42)
(67, 594, 1)
(67, 905, 12)
(67, 698, 14)
(67, 708, 50)
(67, 869, 26)
(67, 270, 36)
(68, 435, 6)
(68, 445, 44)
(68, 790, 9)
(68, 956, 45)
(68, 482, 6)
(68, 305, 8)
(68, 541, 16)
(68, 962, 50)
(68, 626, 23)
(68, 442, 2)
(68, 950, 3)
(68, 676, 23)
(68, 489, 12)
(68, 888, 5)
(68, 120, 5)
(68, 500, 34)
(68, 664, 33)
(68, 767, 28)
(68, 620, 47)
(68, 292, 7)
(68, 261, 3)
(68, 643, 27)
(68, 141, 19)
(68, 122, 29)
(69, 782, 9)
(69, 479, 32)
(69, 216, 21)
(69, 913, 12)
(69, 775, 1)
(69, 580, 20)
(69, 559, 43)
(69, 936, 36)
(69, 815, 25)
(69, 348, 47)
(69, 869, 16)
(69, 477, 33)
